"x" "y" "res" "year"
758698.0439 4291937.0454 0 2018
758703.4266 4291935.079 0 2018
758747.1844 4291897.6435 0 2018
763663.6156 4288096.7981 0 2018
763685.8942 4288078.5947 0 2018
763692.4347 4288074.2109 0 2018
763653.9455 4288149.0892 0 2018
763707.2482 4288133.3377 1 2018
763667.0629 4288239.5012 0 2018
763690.2478 4288217.8042 0 2018
763702.4282 4288292.2259 0 2018
763719.6739 4288118.437 0 2018
762574.7364 4288899.3648 0 2018
762502.6225 4288987.4497 0 2018
764508.9359 4290040.6027 1 2018
739866.6075 4289940.8373 0 2018
739955.1668 4289913.9985 0 2018
739741.0743 4290000.9077 0 2018
739789.3671 4289998.5611 1 2018
739800.2396 4290006.9483 0 2018
739784.2473 4290041.5226 0 2018
739948.2614 4289955.6725 0 2018
740010.7619 4289943.5355 0 2018
740073.3669 4289874.1199 0 2018
762491.0469 4288944.999 0 2018
761253.1081 4284732.0125 1 2018
737163.3495 4295734.1222 0 2018
737109.2705 4295798.4324 0 2018
737192.0415 4295781.8409 0 2018
737176.6888 4295816.7448 0 2018
760977.0249 4283874.5222 0 2018
763993.9125 4289305.0671 1 2018
761050.8962 4283683.2095 1 2018
761100.2366 4283960.6118 1 2018
763851.914 4288431.1121 1 2018
762398.4131 4289100.2315 0 2018
761433.7345 4285028.1391 1 2018
737095.0873 4295746.4274 0 2018
737087.7156 4295737.4157 0 2018
737094.5683 4295708.7707 0 2018
737079.6693 4295797.6316 0 2018
737096.754 4295829.9769 0 2018
737124.1307 4295817.2052 0 2018
763735.9777 4288244.2156 1 2018
767039.252039 4283360.695259 0 2018
763659.3201 4288367.3327 1 2018
763646.0867 4288276.3471 1 2018
763685.5219 4288333.6288 0 2018
763789.6981 4288516.7719 1 2018
762535.2619 4289069.8582 1 2018
737206.6414 4295815.6501 0 2018
737261.3467 4295823.3856 0 2018
737375.4423 4295693.3715 0 2018
761198.8857 4283795.7654 1 2018
763690.3562 4288563.6593 1 2018
763669.2453 4288544.3266 0 2018
762704.0859 4288934.8222 0 2018
737351.037 4295807.0282 0 2018
737337.6711 4295772.7624 0 2018
737380.2071 4295758.3275 0 2018
763660.0624 4288510.0634 1 2018
763625.6224 4288516.6404 1 2018
763605.3133 4288492.2495 1 2018
762625.7811 4289039.7102 1 2018
762623.802 4288924.7129 0 2018
762671.7807 4288959.5719 1 2018
761509.1155 4285000.3089 0 2018
761438.0153 4284890.1212 1 2018
761371.2458 4284833.7644 1 2018
768552.75042 4291947.310899 0 2018
737317.4561 4295663.5347 0 2018
737289.2621 4295634.4391 0 2018
737184.6425 4295636.9353 0 2018
737141.0327 4295649.5702 0 2018
762549.1142 4286872.2897 0 2018
762633.2608 4286847.1406 0 2018
762563.349 4286934.5588 1 2018
762570.4804 4287034.3581 1 2018
761658.8724 4292611.7949 1 2018
761454.8133 4292613.4095 0 2018
764503.4474 4290702.7589 1 2018
764495.4243 4290701.2214 0 2018
764487.7428 4290698.9308 1 2018
764479.9958 4290697.3706 0 2018
764468.8031 4290694.0186 1 2018
764512.6671 4290698.3626 0 2018
764504.2968 4290696.8157 1 2018
764473.5211 4290689.5658 0 2018
764457.491 4290686.4671 1 2018
764399.3049 4290672.1433 1 2018
764394.297 4290670.2712 0 2018
764387.0046 4290670.0923 0 2018
764380.0057 4290669.2808 0 2018
764513.1449 4290692.9189 1 2018
764505.3903 4290690.6737 1 2018
764497.2784 4290689.7152 0 2018
764481.5721 4290685.9958 0 2018
764466.3653 4290683.1847 1 2018
764458.3162 4290680.4377 1 2018
764450.6113 4290678.6851 0 2018
764436.1804 4290676.0003 1 2018
764428.6839 4290674.3844 1 2018
764415.3166 4290671.301 1 2018
764407.8535 4290669.3978 1 2018
764400.0533 4290667.9292 1 2018
764393.4335 4290667.0098 1 2018
764387.2427 4290665.5248 1 2018
764381.4393 4290664.4081 1 2018
764514.1706 4290685.6959 0 2018
764506.0711 4290685.0284 1 2018
764490.7024 4290682.2872 1 2018
764475.5479 4290678.6527 1 2018
764466.7263 4290676.5519 1 2018
764459.5974 4290675.0871 0 2018
764443.7491 4290672.4239 0 2018
764436.6933 4290670.7279 1 2018
764430.2286 4290669.0752 0 2018
764423.1714 4290667.4027 1 2018
764416.044 4290665.7836 1 2018
764409.0113 4290664.1944 0 2018
764401.484 4290663.0138 1 2018
764394.0358 4290661.6162 1 2018
764387.9099 4290660.3492 1 2018
764380.3686 4290658.7071 1 2018
764468.1479 4290668.2888 1 2018
764461.0403 4290667.3012 0 2018
764448.0581 4290664.5519 0 2018
764401.2392 4290654.5066 0 2018
764394.4562 4290652.7374 1 2018
764388.2884 4290651.3817 1 2018
764471.9427 4290696.6894 1 2018
764392.8818 4290673.6753 0 2018
764376.846 4290670.9457 0 2018
764489.2833 4290676.6578 0 2018
737194.3484 4295727.0021 0 2018
737173.9837 4295725.2048 1 2018
737188.5391 4295716.0385 1 2018
737103.2132 4295700.1462 0 2018
737083.6669 4295688.3932 1 2018
737125.8907 4295667.8255 0 2018
762174.9864 4292473.4027 0 2018
763067.0641 4292394.9946 1 2018
761605.2234 4292449.2842 1 2018
761612.0177 4292638.8689 1 2018
761644.673 4292596.4209 1 2018
761475.4373 4292636.3275 1 2018
761614.0416 4292551.173 0 2018
761332.7452 4285049.2429 1 2018
761397.7258 4285030.2673 1 2018
752065.7505 4287443.2983 1 2018
752049.9631 4287413.8171 1 2018
751991.9864 4287377.5931 0 2018
752016.061 4287345.2279 1 2018
752036.9135 4287363.6438 0 2018
762790.3669 4287020.244 0 2018
762828.3699 4286890.2342 1 2018
762834.1554 4287058.6567 0 2018
762857.6932 4286919.1642 1 2018
763572.0027 4288440.1818 0 2018
761538.4393 4292570.286 0 2018
761559.9958 4292556.7109 0 2018
761659.4129 4292507.0306 0 2018
761997.6078 4293161.9077 0 2018
751954.7705 4287482.1314 1 2018
751957.9024 4287430.5438 1 2018
751978.0716 4287322.7398 0 2018
763802.8148 4288487.7621 1 2018
763607.7174 4288383.5988 0 2018
763576.0103 4288460.1241 0 2018
761665.9889 4292519.8002 1 2018
761594.4455 4292478.9458 0 2018
761929.7931 4293155.7809 1 2018
761927.2896 4293132.6846 0 2018
752041.9849 4287326.4207 1 2018
752051.1601 4287331.1755 1 2018
752062.0288 4287356.2032 1 2018
751952.0651 4287315.2528 0 2018
762743.3822 4286919.8584 1 2018
762668.6498 4287103.2949 0 2018
762777.3802 4286828.6559 1 2018
746434.3862 4289138.8114 0 2018
746429.3596 4289135.7389 1 2018
746423.6815 4289131.2403 0 2018
746420.5345 4289129.507 0 2018
746417.5719 4289127.2222 0 2018
746404.4604 4289119.4733 0 2018
746398.5975 4289116.9737 1 2018
746391.221 4289115.4417 1 2018
746378.0512 4289116.1476 0 2018
746368.3383 4289119.026 0 2018
746364.508 4289121.4223 0 2018
746361.3677 4289124.7804 1 2018
746454.7931 4289164.3075 1 2018
746450.5345 4289162.4306 0 2018
746443.7413 4289155.8566 1 2018
746433.0276 4289146.3975 0 2018
746427.3099 4289142.4423 0 2018
746415.2605 4289133.828 0 2018
