"x","y","R_t0","f1_t0"
754086.00234,4296877.64118111,0,0
754093.00234,4296877.64118111,0,0
754100.00234,4296877.64118111,0,0
754107.00234,4296877.64118111,0,0
755108.00234,4296877.64118111,0,0
755115.00234,4296877.64118111,0,0
755122.00234,4296877.64118111,0,0
755101.00234,4296870.64118111,0,0
755108.00234,4296870.64118111,0,0
755115.00234,4296870.64118111,0,0
755101.00234,4296863.64118111,0,0
755108.00234,4296863.64118111,0,0
755115.00234,4296863.64118111,0,0
752987.00234,4296856.64118111,0,0
753001.00234,4296856.64118111,0,0
753008.00234,4296856.64118111,0,0
753015.00234,4296856.64118111,0,0
753022.00234,4296856.64118111,0,0
753029.00234,4296856.64118111,0,0
755094.00234,4296856.64118111,0,0
755101.00234,4296856.64118111,0,0
755108.00234,4296856.64118111,0,0
753022.00234,4296849.64118111,0,0
753029.00234,4296849.64118111,0,0
753036.00234,4296849.64118111,0,0
755094.00234,4296849.64118111,0,0
755101.00234,4296849.64118111,0,0
753008.00234,4296842.64118111,0,0
753015.00234,4296842.64118111,0,0
753022.00234,4296842.64118111,0,0
755087.00234,4296842.64118111,0,0
755094.00234,4296842.64118111,0,0
755101.00234,4296842.64118111,0,0
755087.00234,4296835.64118111,0,0
755094.00234,4296835.64118111,0,0
755087.00234,4296828.64118111,0,0
755094.00234,4296828.64118111,0,0
753785.00234,4296821.64118111,0,0
753792.00234,4296821.64118111,0,0
753764.00234,4296814.64118111,0,0
753771.00234,4296814.64118111,0,0
753778.00234,4296814.64118111,0,0
753785.00234,4296814.64118111,0,0
753792.00234,4296814.64118111,0,0
753764.00234,4296807.64118111,0,0
753771.00234,4296807.64118111,0,0
753778.00234,4296807.64118111,0,0
753785.00234,4296807.64118111,0,0
753792.00234,4296807.64118111,0,0
753764.00234,4296800.64118111,0,0
753771.00234,4296800.64118111,0,0
753778.00234,4296800.64118111,0,0
753785.00234,4296800.64118111,0,0
753792.00234,4296800.64118111,0,0
753771.00234,4296793.64118111,0,0
753778.00234,4296793.64118111,0,0
753785.00234,4296793.64118111,0,0
753792.00234,4296793.64118111,0,0
753771.00234,4296786.64118111,0,0
753778.00234,4296786.64118111,0,0
753785.00234,4296786.64118111,0,0
753792.00234,4296786.64118111,0,0
753799.00234,4296786.64118111,0,0
